Species Name,State,Year,Poaching Incidents,Reason for Poaching,Conservation Status,Crime Report Date,Crime Type,Arrests Made,Case Status,Seized Items,Crimes Reported Per Year
Indian Leopard,Rajasthan,2023.0,4.0,Traditional Medicine,Vulnerable,01-02-2022,Poaching,8.0,Open,Claws,54.0
Pangolin,Karnataka,2022.0,18.0,Ivory Trade,Critically Endangered,24-01-2021,Wildlife Trafficking,1.0,Open,Scales,136.0
Indian Elephant,Assam,2020.0,12.0,Skin Trade,,18-04-2023,Wildlife Trafficking,1.0,Open,Skin,146.0
Pangolin,Madhya Pradesh,2021.0,9.0,Traditional Medicine,Vulnerable,19-12-2021,Wildlife Trafficking,10.0,Under Investigation,Scales,56.0
Pangolin,Odisha,2020.0,18.0,Traditional Medicine,Critically Endangered,05-05-2022,Illegal Trade,2.0,Under Investigation,Scales,77.0
,Odisha,2021.0,5.0,Trophy Hunting,Vulnerable,28-05-2020,Illegal Trade,10.0,Closed,Horn,54.0
Indian Elephant,Madhya Pradesh,,4.0,Ivory Trade,,05-08-2021,Poaching,9.0,Open,Skin,123.0
Indian Elephant,Madhya Pradesh,2022.0,2.0,Traditional Medicine,Endangered,30-04-2020,Wildlife Trafficking,9.0,Closed,Skin,145.0
Indian Elephant,Assam,2023.0,5.0,Traditional Medicine,Critically Endangered,03-02-2022,Poaching,7.0,Closed,Skin,132.0
Pangolin,Karnataka,2021.0,15.0,Skin Trade,Endangered,27-08-2021,Wildlife Trafficking,1.0,Open,Scales,94.0
Indian Leopard,Odisha,2021.0,2.0,Ivory Trade,Endangered,12-09-2020,Illegal Trade,9.0,Under Investigation,Claws,104.0
Indian Elephant,Assam,,9.0,Ivory Trade,Endangered,04-02-2022,Illegal Trade,6.0,Closed,Skin,119.0
,Karnataka,2023.0,7.0,Bushmeat,Endangered,,Wildlife Trafficking,6.0,Under Investigation,Horn,93.0
Indian Rhino,Assam,2021.0,9.0,Ivory Trade,Endangered,,Illegal Trade,7.0,Open,Horn,127.0
Indian Leopard,Odisha,2023.0,17.0,Skin Trade,Vulnerable,,Wildlife Trafficking,0.0,Open,Skin,133.0
,Madhya Pradesh,2022.0,18.0,Traditional Medicine,Vulnerable,28-02-2020,Poaching,0.0,Open,Ivory,62.0
Indian Leopard,Madhya Pradesh,2020.0,15.0,Traditional Medicine,Vulnerable,,Black Market Sale,0.0,Under Investigation,Skin,93.0
Pangolin,Karnataka,,1.0,Bushmeat,Endangered,,Illegal Trade,5.0,Open,Scales,53.0
Bengal Tiger,Rajasthan,2023.0,8.0,Ivory Trade,,22-01-2021,Wildlife Trafficking,5.0,Open,Teeth,146.0
Indian Leopard,Karnataka,2021.0,8.0,Ivory Trade,Vulnerable,14-01-2023,Poaching,,Open,Skin,91.0
Indian Rhino,Rajasthan,2021.0,8.0,Skin Trade,Critically Endangered,24-02-2022,Poaching,10.0,Open,Horn,70.0
Pangolin,Assam,2022.0,3.0,Trophy Hunting,Critically Endangered,04-06-2023,Wildlife Trafficking,8.0,Closed,Scales,74.0
Indian Leopard,Assam,2021.0,4.0,Traditional Medicine,Endangered,15-08-2021,Poaching,9.0,Open,Claws,84.0
Bengal Tiger,Odisha,2023.0,4.0,Traditional Medicine,Endangered,22-04-2023,Black Market Sale,10.0,Open,Skin,57.0
Bengal Tiger,Rajasthan,2022.0,2.0,Skin Trade,Endangered,07-09-2023,Wildlife Trafficking,8.0,Closed,Skin,61.0
Indian Elephant,Odisha,,7.0,Ivory Trade,Vulnerable,27-06-2022,Illegal Trade,7.0,Closed,Skin,106.0
Indian Elephant,Madhya Pradesh,,2.0,Traditional Medicine,Endangered,03-09-2023,Illegal Trade,8.0,Under Investigation,Skin,80.0
Indian Rhino,Rajasthan,2020.0,3.0,Ivory Trade,Vulnerable,19-07-2021,Poaching,5.0,Open,Horn,110.0
Indian Leopard,Karnataka,2023.0,3.0,Skin Trade,Vulnerable,02-02-2021,Illegal Trade,7.0,Closed,Skin,135.0
Indian Leopard,Madhya Pradesh,2021.0,3.0,Skin Trade,Vulnerable,17-06-2022,Illegal Trade,9.0,Closed,Claws,76.0
Indian Elephant,Madhya Pradesh,2023.0,1.0,Traditional Medicine,Vulnerable,09-08-2023,Smuggling,10.0,Open,Ivory,113.0
Indian Leopard,Karnataka,2022.0,3.0,Skin Trade,Endangered,19-10-2020,Illegal Trade,6.0,Under Investigation,Claws,148.0
Indian Leopard,Madhya Pradesh,2020.0,4.0,Skin Trade,Vulnerable,29-04-2021,Illegal Trade,10.0,Closed,Claws,78.0
Bengal Tiger,Rajasthan,2022.0,6.0,Skin Trade,Endangered,13-03-2022,Poaching,8.0,Under Investigation,Claws,91.0
Indian Elephant,Odisha,2021.0,2.0,Skin Trade,Endangered,06-12-2023,Wildlife Trafficking,9.0,Open,Skin,76.0
Pangolin,Madhya Pradesh,2023.0,3.0,Skin Trade,Vulnerable,08-06-2022,Wildlife Trafficking,,Open,Scales,147.0
Indian Elephant,Rajasthan,2023.0,6.0,Traditional Medicine,Endangered,31-08-2020,Poaching,5.0,Under Investigation,Ivory,132.0
Pangolin,,2023.0,6.0,Traditional Medicine,Critically Endangered,14-12-2023,Poaching,10.0,Open,Scales,53.0
Bengal Tiger,Rajasthan,2022.0,8.0,Traditional Medicine,Endangered,17-08-2022,Wildlife Trafficking,10.0,Under Investigation,Claws,146.0
Indian Rhino,,2020.0,4.0,Ivory Trade,Endangered,23-03-2023,Poaching,,,Horn,127.0
Indian Leopard,Rajasthan,2022.0,2.0,Skin Trade,Vulnerable,26-03-2022,Poaching,8.0,Closed,Skin,85.0
Bengal Tiger,Karnataka,2022.0,2.0,Traditional Medicine,Vulnerable,18-12-2023,Poaching,7.0,Closed,Skin,99.0
Indian Leopard,Odisha,2021.0,7.0,Skin Trade,Endangered,29-09-2020,Wildlife Trafficking,10.0,Under Investigation,Claws,90.0
,Assam,2021.0,5.0,Skin Trade,Vulnerable,03-06-2021,Poaching,9.0,Under Investigation,Horn,114.0
Indian Rhino,Karnataka,2021.0,3.0,Ivory Trade,Critically Endangered,25-02-2023,Illegal Trade,,Open,Horn,66.0
Bengal Tiger,Rajasthan,2020.0,1.0,Traditional Medicine,Critically Endangered,28-10-2023,Illegal Trade,7.0,Under Investigation,Skin,55.0
Indian Rhino,Odisha,2020.0,14.0,Skin Trade,Vulnerable,21-07-2021,Wildlife Trafficking,1.0,Open,Horn,121.0
,Assam,2021.0,6.0,Ivory Trade,Endangered,29-09-2021,Poaching,8.0,Open,Horn,133.0
Indian Rhino,Karnataka,2021.0,20.0,Traditional Medicine,Critically Endangered,07-06-2020,Illegal Trade,1.0,Open,Horn,63.0
Indian Leopard,Assam,2020.0,1.0,Traditional Medicine,Critically Endangered,13-10-2021,Wildlife Trafficking,8.0,Closed,Claws,53.0
Indian Leopard,Rajasthan,2023.0,3.0,Ivory Trade,Endangered,24-06-2020,Illegal Trade,8.0,Closed,Skin,76.0
Indian Leopard,Assam,2020.0,3.0,Traditional Medicine,Vulnerable,11-09-2021,Poaching,5.0,Open,Skin,80.0
Indian Leopard,Madhya Pradesh,2020.0,19.0,Ivory Trade,Critically Endangered,29-07-2020,Wildlife Trafficking,2.0,Under Investigation,Claws,130.0
Pangolin,Karnataka,2020.0,2.0,Traditional Medicine,Endangered,22-03-2021,Illegal Trade,9.0,Under Investigation,Scales,131.0
Indian Elephant,,2021.0,6.0,Skin Trade,Endangered,,Wildlife Trafficking,10.0,Closed,Ivory,150.0
Bengal Tiger,Rajasthan,2023.0,7.0,Bushmeat,Critically Endangered,15-06-2020,Illegal Trade,5.0,Open,Skin,126.0
Indian Leopard,Rajasthan,2020.0,20.0,Traditional Medicine,Vulnerable,04-04-2021,Illegal Trade,2.0,Open,Claws,64.0
Indian Rhino,Assam,2021.0,6.0,Traditional Medicine,Critically Endangered,04-07-2022,Poaching,,Open,Horn,71.0
,Rajasthan,2022.0,7.0,Skin Trade,Endangered,12-10-2023,Poaching,6.0,Under Investigation,Ivory,116.0
Indian Rhino,Odisha,2022.0,16.0,Traditional Medicine,Critically Endangered,20-08-2023,Illegal Trade,2.0,Open,Horn,56.0
Indian Rhino,Odisha,2020.0,14.0,Traditional Medicine,Vulnerable,10-06-2023,Wildlife Trafficking,0.0,Open,Horn,53.0
Indian Leopard,Odisha,2022.0,12.0,Traditional Medicine,Endangered,12-09-2023,Wildlife Trafficking,1.0,Open,Skin,139.0
Pangolin,Madhya Pradesh,2023.0,1.0,Ivory Trade,Vulnerable,20-04-2023,Poaching,9.0,Open,Scales,103.0
Indian Rhino,Assam,2022.0,4.0,Bushmeat,Critically Endangered,19-09-2023,Illegal Trade,5.0,Open,Horn,66.0
Indian Rhino,Madhya Pradesh,2022.0,5.0,Traditional Medicine,Critically Endangered,18-11-2022,Poaching,5.0,Closed,Horn,127.0
Indian Leopard,,2023.0,3.0,Ivory Trade,Vulnerable,14-12-2021,Illegal Trade,7.0,Closed,Claws,134.0
Indian Rhino,Madhya Pradesh,2020.0,3.0,Trophy Hunting,Critically Endangered,21-01-2023,Illegal Trade,8.0,Closed,Horn,92.0
Indian Rhino,Rajasthan,2020.0,9.0,Trophy Hunting,Vulnerable,20-04-2022,Poaching,5.0,Open,Horn,138.0
Indian Leopard,Rajasthan,2023.0,5.0,Ivory Trade,Critically Endangered,17-05-2022,Wildlife Trafficking,5.0,Under Investigation,Skin,123.0
Indian Leopard,Karnataka,2023.0,11.0,Ivory Trade,Vulnerable,18-11-2021,Poaching,1.0,Open,Claws,145.0
Bengal Tiger,Odisha,,15.0,Traditional Medicine,Vulnerable,25-11-2020,Illegal Trade,2.0,Open,Teeth,96.0
Pangolin,,2022.0,3.0,Bushmeat,Endangered,22-04-2023,Poaching,9.0,Under Investigation,Scales,119.0
Pangolin,Karnataka,2023.0,6.0,Skin Trade,Endangered,04-04-2020,Wildlife Trafficking,6.0,Closed,Scales,78.0
Indian Rhino,Odisha,2021.0,1.0,Ivory Trade,Vulnerable,23-02-2022,Wildlife Trafficking,,Under Investigation,Horn,147.0
Pangolin,Rajasthan,2022.0,15.0,Traditional Medicine,Critically Endangered,10-10-2021,Illegal Trade,0.0,Open,Scales,71.0
Indian Rhino,Rajasthan,2020.0,5.0,Traditional Medicine,Critically Endangered,18-12-2020,Poaching,10.0,Closed,Horn,72.0
Bengal Tiger,Madhya Pradesh,2020.0,3.0,Traditional Medicine,Critically Endangered,18-07-2022,Wildlife Trafficking,,Closed,Teeth,77.0
Indian Leopard,Madhya Pradesh,2020.0,10.0,Skin Trade,Vulnerable,29-07-2022,Poaching,1.0,Under Investigation,Skin,108.0
Indian Leopard,Odisha,2022.0,6.0,Traditional Medicine,Vulnerable,10-09-2022,Poaching,8.0,Closed,Skin,74.0
Indian Leopard,,2021.0,11.0,Skin Trade,Vulnerable,12-07-2023,Illegal Trade,2.0,Open,Claws,133.0
,Assam,2023.0,3.0,Skin Trade,Vulnerable,08-11-2022,Illegal Trade,10.0,Under Investigation,Horn,88.0
Bengal Tiger,Madhya Pradesh,2023.0,16.0,Ivory Trade,Endangered,07-10-2021,Poaching,1.0,Open,Claws,122.0
,,2020.0,7.0,Trophy Hunting,Vulnerable,17-09-2021,Illegal Trade,8.0,Closed,Horn,80.0
Pangolin,Rajasthan,2020.0,20.0,Skin Trade,Critically Endangered,18-05-2020,Wildlife Trafficking,1.0,Under Investigation,Scales,117.0
Bengal Tiger,,2022.0,12.0,Bushmeat,Endangered,16-12-2021,Illegal Trade,2.0,Under Investigation,Claws,59.0
Bengal Tiger,,2021.0,2.0,Skin Trade,Critically Endangered,31-01-2022,Wildlife Trafficking,8.0,Closed,Claws,77.0
Bengal Tiger,Odisha,2023.0,10.0,Skin Trade,Vulnerable,11-09-2020,Wildlife Trafficking,2.0,Open,Skin,128.0
Bengal Tiger,,2022.0,9.0,Ivory Trade,Endangered,13-01-2023,Illegal Trade,,Closed,Claws,52.0
,Madhya Pradesh,2023.0,8.0,Skin Trade,Vulnerable,06-11-2021,Black Market Sale,8.0,Under Investigation,Scales,144.0
Indian Elephant,Assam,2020.0,2.0,Skin Trade,Endangered,01-04-2020,Wildlife Trafficking,6.0,Closed,Ivory,147.0
Indian Elephant,Odisha,2023.0,7.0,Skin Trade,Critically Endangered,28-12-2022,Wildlife Trafficking,7.0,Closed,Skin,112.0
Bengal Tiger,Assam,2021.0,3.0,Skin Trade,Vulnerable,06-02-2020,Poaching,10.0,Under Investigation,Teeth,79.0
Indian Elephant,Madhya Pradesh,2021.0,16.0,Trophy Hunting,Vulnerable,19-05-2020,Poaching,2.0,Open,Ivory,149.0
Indian Elephant,Odisha,2020.0,4.0,Skin Trade,Endangered,,Illegal Trade,6.0,Closed,Skin,94.0
Bengal Tiger,Assam,2021.0,5.0,Ivory Trade,Endangered,10-11-2021,Poaching,6.0,Under Investigation,Teeth,144.0
Indian Elephant,Karnataka,2021.0,9.0,Trophy Hunting,Vulnerable,16-04-2023,Wildlife Trafficking,9.0,Closed,Skin,147.0
Pangolin,Madhya Pradesh,2022.0,15.0,Ivory Trade,Endangered,16-05-2020,Illegal Trade,1.0,Open,Scales,55.0
Indian Rhino,Madhya Pradesh,2023.0,3.0,Traditional Medicine,Vulnerable,08-07-2020,Illegal Trade,10.0,Closed,Horn,87.0
Indian Rhino,Madhya Pradesh,2020.0,5.0,Traditional Medicine,Endangered,07-12-2020,Illegal Trade,9.0,Open,Horn,81.0
Bengal Tiger,Karnataka,,5.0,Traditional Medicine,Critically Endangered,25-10-2022,Illegal Trade,8.0,Closed,Skin,55.0
Indian Leopard,,,7.0,Traditional Medicine,Endangered,29-08-2022,Wildlife Trafficking,6.0,Closed,Claws,97.0
Bengal Tiger,Rajasthan,2020.0,1.0,Skin Trade,Critically Endangered,04-07-2023,Illegal Trade,7.0,Under Investigation,Skin,111.0
Indian Leopard,Assam,,9.0,Skin Trade,Endangered,23-10-2021,Poaching,,Under Investigation,Claws,132.0
Indian Rhino,Rajasthan,2021.0,16.0,Ivory Trade,Endangered,30-08-2020,Illegal Trade,1.0,Closed,Horn,142.0
Bengal Tiger,Assam,2022.0,7.0,Ivory Trade,Vulnerable,18-02-2021,Poaching,5.0,Closed,Skin,58.0
Pangolin,Karnataka,2020.0,4.0,Traditional Medicine,Endangered,07-12-2021,Wildlife Trafficking,9.0,Open,Scales,56.0
Indian Elephant,Karnataka,2022.0,9.0,Trophy Hunting,Endangered,08-12-2020,Illegal Trade,5.0,Open,Skin,75.0
Indian Leopard,Rajasthan,2022.0,17.0,Traditional Medicine,Critically Endangered,12-11-2021,Wildlife Trafficking,2.0,Under Investigation,Claws,89.0
Indian Elephant,Odisha,2021.0,3.0,Ivory Trade,Endangered,03-11-2023,Poaching,5.0,Open,Skin,108.0
Indian Elephant,Rajasthan,2020.0,11.0,Traditional Medicine,Vulnerable,14-10-2021,Illegal Trade,2.0,Open,Skin,122.0
Bengal Tiger,Assam,2021.0,4.0,Ivory Trade,,25-05-2020,Illegal Trade,7.0,Closed,Claws,89.0
Indian Elephant,Rajasthan,2020.0,6.0,Traditional Medicine,Vulnerable,18-11-2020,Poaching,5.0,Under Investigation,Skin,57.0
Pangolin,Madhya Pradesh,,8.0,Skin Trade,Vulnerable,01-05-2020,Poaching,10.0,Open,Scales,84.0
Indian Elephant,Assam,2022.0,4.0,Traditional Medicine,Vulnerable,29-06-2023,Illegal Trade,6.0,Open,Skin,112.0
Bengal Tiger,Assam,2020.0,8.0,Bushmeat,Vulnerable,06-11-2020,Wildlife Trafficking,8.0,Under Investigation,Claws,122.0
Pangolin,Odisha,2023.0,5.0,Bushmeat,Critically Endangered,23-08-2021,Wildlife Trafficking,9.0,Open,Scales,104.0
Indian Rhino,Karnataka,2022.0,2.0,Ivory Trade,Endangered,,Wildlife Trafficking,5.0,Open,Horn,71.0
Indian Elephant,Assam,2023.0,18.0,Skin Trade,Vulnerable,23-07-2021,Wildlife Trafficking,0.0,Open,Skin,95.0
Bengal Tiger,Karnataka,2022.0,17.0,Skin Trade,Critically Endangered,,Poaching,,Open,Teeth,116.0
Indian Rhino,Rajasthan,2021.0,1.0,Skin Trade,Vulnerable,12-12-2020,Wildlife Trafficking,7.0,Open,Horn,87.0
Indian Rhino,Madhya Pradesh,2020.0,17.0,Skin Trade,Endangered,30-03-2022,Poaching,1.0,Open,Horn,122.0
Indian Leopard,Odisha,2022.0,7.0,Trophy Hunting,,16-01-2021,Wildlife Trafficking,8.0,Closed,Skin,137.0
Pangolin,Karnataka,2021.0,8.0,Skin Trade,Critically Endangered,27-07-2023,Poaching,6.0,Open,Scales,67.0
Indian Elephant,Assam,2020.0,12.0,Ivory Trade,,12-03-2020,Wildlife Trafficking,0.0,Open,Ivory,50.0
Bengal Tiger,Karnataka,2020.0,14.0,Ivory Trade,,04-06-2021,Wildlife Trafficking,1.0,Open,Skin,55.0
Indian Leopard,Assam,2022.0,15.0,Skin Trade,Endangered,21-10-2023,Poaching,1.0,Open,Claws,133.0
Pangolin,Karnataka,2020.0,19.0,Skin Trade,Critically Endangered,21-07-2022,Poaching,1.0,Closed,Scales,80.0
,Assam,2022.0,19.0,Traditional Medicine,Critically Endangered,,Illegal Trade,0.0,Open,Horn,111.0
Pangolin,Rajasthan,2020.0,7.0,Ivory Trade,Endangered,28-10-2023,Illegal Trade,8.0,Closed,Scales,50.0
Pangolin,Assam,2023.0,4.0,Skin Trade,Endangered,,Poaching,,Under Investigation,Scales,116.0
Indian Elephant,Assam,2021.0,13.0,Ivory Trade,Critically Endangered,21-09-2023,Illegal Trade,1.0,Under Investigation,Skin,60.0
Pangolin,Madhya Pradesh,2023.0,5.0,Traditional Medicine,Critically Endangered,25-10-2021,Illegal Trade,,Open,Scales,84.0
,Assam,2022.0,1.0,Ivory Trade,Endangered,,Poaching,8.0,Under Investigation,Horn,71.0
Pangolin,Madhya Pradesh,2023.0,9.0,Skin Trade,Endangered,,Illegal Trade,5.0,Closed,Scales,98.0
Indian Elephant,Odisha,2022.0,5.0,Ivory Trade,Critically Endangered,27-07-2021,Illegal Trade,7.0,Under Investigation,Skin,104.0
Indian Elephant,Madhya Pradesh,2020.0,12.0,Traditional Medicine,Critically Endangered,,Illegal Trade,0.0,Open,Ivory,105.0
,Rajasthan,2020.0,3.0,Traditional Medicine,Critically Endangered,23-08-2022,Poaching,9.0,Closed,Horn,64.0
,Madhya Pradesh,2022.0,3.0,Ivory Trade,Endangered,03-08-2021,Poaching,9.0,Closed,Skin,79.0
